辨識碼,卦序,卦名,組成,建議,運勢,愛情,求職,考試,事業
111111,1,乾,天,得此卦者在能力上並不是問題，最大的問題在於「時機」與自己的應變力。建議凡事不要過於固執，最好要能見機行事，隨機應變，做事要有彈性。,有地位擢升、名利雙收之象，功名榮顯得貴子。六親和睦，凡事謙和為貴，可吉。,彼此之間切勿逞強，摒除自我主義的觀念方可成就，但常有鬧意見之情況。,有貴人提拔，可發展，稱心。,有望。,能力強，能夠獨當一面。然而是否能夠亨通，則有待良好的時機。
222222,2,坤,地,謙卑退讓者有福，過於積極主動者反而一無所成。對於立定志向想做的事，應該要持之以恒，堅持到底，則可成功，操之過急，易致失敗。利於追隨於人，不適於自己獨當一面。,諸事不宜急進，退守以靜制動者吉。坤者大地平靜，任其他物所摧而不為所動者大利也。若醉心私慾，違背常理，則有無情之災。,男主動，女主靜，緩進可成，急則有失。,不稱意亦不理想，另尋。,希望不大。,小順。謙卑退讓，可找到好的老闆。但不利於創業。
212221,3,屯,水雷,屯卦代表｢困難｣，但不代表失敗。如果能夠屯積實力，走過｢凡事起頭難｣的階段，未來仍是無可限量。,逆勢，多有困惑，但不可妄進，宜守不宜進。堅定意志，凡事不可為一己之利而執意強行，皆有不成損破之象。宜步步為營，排除困難，始可通達。有初難後解之象。,不妥協，或已暫時失去連絡，否則就是出現不良狀況而有所阻礙，成就有困難也。而此卦男人得利，女人失利。,不利。,不理想。,創業惟艱，應多注重自己實力的培養，基礎的奠定。
122212,4,蒙,山水,能力不足以處理危機，最好的策略是向有經驗與智慧的人請益。但請益之前請先做好準備，誠心前往，避免繁鎖而一問再問的情況。,氣運不發，多迷惑。初時不順，須忍耐待機，漸可佳。切勿貿然行事或為人認保、作保，否則必有損失。凡事宜從上輩教誨，則運可通也。,此卦為未啟蒙之卦，致落花有意而流水無情。主要是缺乏勇氣與決心，致不成事也。若有成，此卦亦主勞碌耳。,未能如願，再等時機。,不理想。,能力不足以應付。需要再多方學習，向人求教。
212111,5,需,水天,需卦是藏有危機的一卦，雖然你的能力足以化險為夷，但仍不宜妄動，靜待佳機才是比較好的策略。,宜退守正道，不宜冒險前進，投機急取反而失利。須知貪小失大，智者必須待時也。,起初不如意，有耐心者方可成就，否則不成也。,不宜急取，急亦不得，再等待，再尋求。,要多用功。,雖有能力，但目前還沒有適當的機會。先設法渡過眼前危機為宜。
111212,6,訟,天水,注意福禍相倚，得未必是福，失未必是禍。你的堅持是很危險的，凡事不要走極端，不要頑強固執。能夠放棄爭訟則吉，平安是福；若是一意爭取到底，既使贏了也會召來後續的禍害。,百事閉塞不通，傷害頻繁，受中傷而又易陷於奸計，不如意之運也。得饒人處且饒人，得過且過，莫再爭訟，否則皆不利也。,多事之時，是非頻頻，受中傷不易成也。,難成。,不理想。很差。,有爭議，有法律的風險。
222212,7,師,地水,帶兵打仗首先要師出有名，其次用人則是要找老成持重，有豐富疆場經驗者為宜。無經驗者絕不可用。,事雖有不順、但要引以為鏡，記取教訓。不要圖私利而投機取巧。凡事應以正規而行，事物多變動，切忌獨立而行。困難多端，靠自己努力，摒除一切困難為上策。,慎防感情引起的衝突、傷害，難再有成。,獨立無望，有人扶持則可。,很認真，但不理想，繼續努力終有成就。,責任重大，很具挑戰性。無經驗勿試。
212222,8,比,水地,比道貴在能夠發自內心的積極，表現在外的則是當仁不讓，不落人後。只要積極表現出你的誠意，就能受到青睞。,運氣平順，與人相親處事則吉。可獲貴人提拔，但不可得志而非份橫行急進，否則遭破遜也。,兩相情悅，可得良緣。,有貴人，可有利。,金榜題名。,應該積極努力經營好上下屬之間的關係。
112111,9,小畜,風天,未來充滿不確定，當今之計可以退守，放下遠大的目標，活在當下，選擇眼前立即就可達成的小目標。,有蓄聚、阻止之意。一陰畜五陽，雖有雲雨而不下，雨之不下，大地不能得到滋潤，故此運勢有反覆、有口舌、又難以急調，諸事宜忍耐，等待時機。尤其女人得此卦更應在行為上，對事或對人有所節制。,語言不和，意見分歧，不太如意。,希望渺小。,不理想。,懷才不遇，前途不明。
111211,10,履,天澤,凡事必需謹慎小心，戒慎恐懼，如履薄冰，一切照規矩來，則可以亨通。要特別注意人與人的關係上，必需清楚分辨尊卑上下的份際，嚴守其應對之道。,有先勞後逸、始驚後安之意，雖有繁華，卻又反覆不和，故得此卦時為憂慮受危中而望喜渺。但謙虛反省請教於長者則吉。,相愛，但阻礙很多，雖然不易成功，但亦有以誠、禮相待而成婚姻者。,有貴人提拔，可發展，稱心。,有望。,必需循規蹈矩，凡事照規定來，注意上下的分工與份際，否則必然出重大差錯。
222111,11,泰,地天,雖然一切順利，萬事如意。但人無遠慮，必有近憂。對於事情的發展應當有防患於未然的遠見，則可長保安泰。反之，若不知守成不易，防患未然，則泰極否來，吉之後很快就會轉為凶。,諸事如意吉祥，前途事業均順利。切不可驕傲或任意從事，亦宜自惕勿太活躍，始能免於災難。凡事宜求內在之實，不求外在之虛，否則有破。,情投意合，良緣。勿任性，以維持吉象，反之則招破。,吉利亨通。,上榜有望，宜再努力勿懈。,上下和氣，打成一片。凡事順利。
111222,12,否,天地,除了靜待時機，等待否極泰來，或許可以多注意一下自己在溝通能力上的問題。若是為人上司，則應該設法放下身段，打破下屬的心結。若是為人下屬，則可設法將意見上達。,凶且衰，君子以險德避難，不可榮以祿也。邇勢不通達，諸事不順，有損失且波折多。故宜守固正道，若稍偏差，則災害至也。,陰陽相背，被拒千里之外。,先難後易，須有耐心去爭取勝利，否則凶。,不理想。,不順。
111121,13,同仁,天火,與人結盟應當要有信心與決心，更應注意自己的誠信與心胸氣度，否則中間可能出現的阻撓與障礙，不但可能讓你半途而廢，甚至惹禍上身。,得此卦為諸事開通、平安、吉祥、如意之象，有同情心，互愛、亨通之象，故宜好好掌握時機，維持盛泰。若有稍涉偏私或為私情之愛則有破兆，應以事業為重。,互悅其情，彼此間謙和以禮互敬，魚之得水，定成美眷。切忌氣盛，宜和。,吉利。,成績優良。,需找到貴人幫助才可成功，更應慎防小人相害。
121111,14,大有,火天,大有是非常好的一卦，凡事都順利而亨通。但要注意的是富有時應保持低調，不要炫耀，以免引來不必要的麻煩。,得時得運，隆盛昌榮也。然卦象藏有盛極必衰的預兆，不得不慎，以期保持其全盛之樞紐，可眾望所歸。有走紅、賺錢之勢，須謹慎不可驕縱。,可實現理想之吉象。,順利可行。,科甲明登。,吉星高照，事業順利。
222122,15,謙,地天,謙是修養自己，以德服人的一卦。因為虛心，所以更為富有，因為謙卑，所以崇高；功成不居，所以偉大。但這些都不是一蹵可及的，而是要持之以恒。,吉利平安，欣欣向榮之象，謙者前途大利，驕者橫行招敗。故以君子謙德，縱涉大川而無險也，卦利君子。正所謂謙受益滿招損也。,以謙恭相追求有成，可獲良緣，反之失利。,吉利。可成。,金榜題名。,功成不居，虛心退讓，久了自能亨通。
221222,16,豫,雷地,可以用「寓教於樂」的手段來完成嚴肅的事。凡事用心傾聽，以娛悅的心與人多做心靈的交流；不要沉溺而迷失自我，要懂得節制，適可而止。,此卦象徵萬物欣暢，如意安泰，可得上輩之助。切不能因繁華而怠惰，或沉醉於聲色歡場之中。好運不常有，當好好把握。,一帆風順，天賜良緣。,可得上輩提拔，有希望。,金榜題名。,利於建立人脈基礎。適於娛樂業。
